,Канал: 0,Канал: 1
70009,-0.654,-0.557
70151,-0.635,-0.674
70293,-0.605,-0.781
70435,-0.518,-0.908
70577,-0.488,-1.006
70719,-0.469,-1.123
70861,-0.518,-1.201
71003,-0.361,-1.279
71145,-0.313,-1.357
71287,-0.225,-1.445
71429,-0.254,-1.514
71571,-0.098,-1.592
71713,-0.127,-1.670
71855,0.059,-1.738
71997,-0.039,-1.807
72139,0.098,-1.855
72281,0.117,-1.934
72423,0.078,-2.002
72565,0.117,-2.070
72707,0.137,-2.119
72849,0.195,-2.197
72991,0.254,-2.246
73133,0.156,-2.285
73275,0.205,-2.334
73417,0.273,-2.354
73559,0.342,-2.383
73701,0.352,-2.441
73843,0.322,-2.451
73985,0.410,-2.480
74127,0.332,-2.510
74269,0.410,-2.549
74411,0.400,-2.578
74553,0.391,-2.607
74695,0.342,-2.637
74837,0.430,-2.676
74979,0.508,-2.734
75121,0.381,-2.783
75263,0.527,-2.861
75405,0.400,-2.910
75547,0.547,-2.959
75689,0.547,-2.988
75831,0.527,-3.008
75973,0.518,-2.988
76115,0.518,-2.979
76257,0.615,-2.920
76399,0.654,-2.813
76541,0.498,-2.676
76683,0.527,-2.568
76825,0.605,-2.480
76967,0.537,-2.383
77109,0.664,-2.275
77251,0.498,-2.168
77393,0.557,-2.061
77535,0.586,-1.953
77677,0.479,-1.836
77819,0.518,-1.709
77961,0.576,-1.582
78103,0.674,-1.436
78245,0.576,-1.299
78387,0.645,-1.133
78529,0.518,-0.947
78671,0.605,-0.791
78813,0.459,-0.645
78955,0.439,-0.488
79097,0.420,-0.352
79239,0.420,-0.215
79381,0.498,-0.098
79523,0.586,0.049
79665,0.469,0.176
79807,0.537,0.332
79949,0.469,0.459
80091,0.391,0.586
80233,0.439,0.713
80375,0.322,0.820
80517,0.264,0.928
80659,0.264,1.025
80801,0.205,1.123
80943,0.293,1.201
81085,0.215,1.299
81227,0.127,1.377
81369,0.098,1.475
81511,0.117,1.543
81653,-0.166,1.621
81795,-0.137,1.689
81937,-0.186,1.748
82079,-0.225,1.826
82221,-0.273,1.885
82363,-0.225,1.953
82505,-0.322,2.021
82647,-0.352,2.090
82789,-0.322,2.148
82931,-0.332,2.207
83073,-0.430,2.236
83215,-0.430,2.275
83357,-0.410,2.305
83499,-0.508,2.354
83641,-0.527,2.393
83783,-0.488,2.422
83925,-0.488,2.461
84067,-0.547,2.471
84209,-0.449,2.500
84351,-0.547,2.539
84493,-0.645,2.559
84635,-0.605,2.607
84777,-0.576,2.646
84919,-0.586,2.695
85061,-0.791,2.754
85203,-0.654,2.832
85345,-0.645,2.881
85487,-0.586,2.930
85629,-0.625,2.979
85771,-0.684,2.979
85913,-0.771,2.979
86055,-0.732,2.949
86197,-0.771,2.910
86339,-0.693,2.803
86481,-0.703,2.676
86623,-0.781,2.568
86765,-0.781,2.480
86907,-0.801,2.383
87049,-0.801,2.275
87191,-0.762,2.178
87333,-0.820,2.080
87475,-0.713,1.953
87617,-0.723,1.855
87759,-0.723,1.729
87901,-0.791,1.602
88043,-0.723,1.465
88185,-0.684,1.318
88327,-0.752,1.152
88469,-0.732,0.996
88611,-0.791,0.811
88753,-0.605,0.664
88895,-0.664,0.518
89037,-0.635,0.391
89179,-0.801,0.254
89321,-0.645,0.127
89463,-0.684,-0.020
89605,-0.762,-0.156
89747,-0.615,-0.273
89889,-0.674,-0.439
90031,-0.586,-0.547
90173,-0.645,-0.674
90315,-0.527,-0.791
90457,-0.576,-0.918
90599,-0.605,-1.016
90741,-0.547,-1.104
90883,-0.400,-1.201
91025,-0.361,-1.279
91167,-0.332,-1.377
91309,-0.166,-1.436
91451,-0.313,-1.514
91593,-0.156,-1.602
91735,-0.088,-1.660
91877,-0.107,-1.738
92019,0.010,-1.787
92161,-0.010,-1.885
92303,0.049,-1.934
92445,0.088,-2.002
92587,0.166,-2.070
92729,0.039,-2.139
92871,0.176,-2.197
93013,0.244,-2.236
93155,0.244,-2.295
93297,0.322,-2.324
93439,0.273,-2.354
93581,0.313,-2.393
93723,0.332,-2.432
93865,0.303,-2.451
94007,0.352,-2.480
94149,0.361,-2.520
94291,0.352,-2.549
94433,0.400,-2.588
94575,0.352,-2.617
94717,0.371,-2.646
94859,0.488,-2.686
95001,0.459,-2.744
95143,0.518,-2.813
95285,0.479,-2.881
95427,0.488,-2.920
95569,0.527,-2.979
95711,0.459,-2.998
95853,0.566,-3.018
95995,0.615,-2.998
96137,0.635,-2.959
96279,0.527,-2.910
96421,0.566,-2.793
96563,0.537,-2.676
96705,0.664,-2.568
96847,0.586,-2.471
96989,0.625,-2.373
97131,0.664,-2.266
97274,0.596,-2.158
97416,0.566,-2.061
97558,0.498,-1.924
97700,0.596,-1.826
97842,0.586,-1.689
97984,0.527,-1.563
98126,0.615,-1.426
98268,0.547,-1.289
98410,0.488,-1.104
98552,0.596,-0.957
98694,0.625,-0.771
98836,0.635,-0.615
98978,0.527,-0.479
99120,0.566,-0.332
99262,0.449,-0.205
99404,0.459,-0.068
99546,0.479,0.059
99688,0.352,0.205
99830,0.439,0.332
99972,0.479,0.459
100114,0.400,0.596
100256,0.410,0.713
100398,0.391,0.830
100540,0.293,0.938
100682,0.342,1.035
100824,0.137,1.123
100966,0.127,1.211
101108,0.078,1.299
101250,0.107,1.387
101392,0.039,1.475
101534,-0.029,1.553
101676,-0.010,1.621
101818,-0.137,1.699
101960,-0.049,1.768
102102,-0.176,1.826
102244,-0.254,1.885
102386,-0.244,1.953
102528,-0.273,2.021
102670,-0.303,2.100
102812,-0.400,2.148
102954,-0.400,2.197
103096,-0.410,2.246
103238,-0.498,2.285
103380,-0.508,2.314
103522,-0.518,2.354
103664,-0.518,2.393
103806,-0.488,2.432
103948,-0.518,2.451
104090,-0.664,2.471
104232,-0.479,2.510
104374,-0.479,2.539
104516,-0.615,2.568
104658,-0.508,2.588
104800,-0.566,2.656
104942,-0.566,2.715
105084,-0.615,2.764
105226,-0.635,2.832
105368,-0.664,2.891
105510,-0.713,2.920
105652,-0.625,2.969
105794,-0.645,2.979
105936,-0.713,2.969
106078,-0.781,2.949
106220,-0.771,2.900
106362,-0.820,2.803
106504,-0.781,2.666
106646,-0.752,2.578
106788,-0.762,2.480
106930,-0.801,2.373
107072,-0.752,2.275
107214,-0.801,2.168
107356,-0.713,2.070
107498,-0.674,1.963
107640,-0.811,1.846
107782,-0.762,1.719
107924,-0.654,1.592
108066,-0.830,1.465
108208,-0.645,1.318
108350,-0.664,1.152
108492,-0.791,0.986
108634,-0.635,0.820
108776,-0.645,0.664
108918,-0.654,0.498
109060,-0.742,0.391
109202,-0.742,0.244
109344,-0.723,0.107
109486,-0.674,-0.029
109628,-0.732,-0.156
109770,-0.684,-0.293
109912,-0.596,-0.439
