,Канал: 0,Канал: 1
116750,-0.47851563,1.48437500
117000,-0.43945313,1.53320313
117250,-0.48828125,1.58203125
117500,-0.52734375,1.64062500
117750,-0.54687500,1.67968750
118000,-0.57617188,1.67968750
118250,-0.61523438,1.66015625
118500,-0.63476563,1.53320313
118750,-0.63476563,1.44531250
119000,-0.64453125,1.35742188
119250,-0.64453125,1.25000000
119500,-0.65429688,1.16210938
119750,-0.62500000,1.04492188
120000,-0.62500000,0.90820313
120250,-0.60546875,0.78125000
120500,-0.59570313,0.62500000
120750,-0.56640625,0.45898438
121000,-0.57617188,0.30273438
121250,-0.52734375,0.15625000
121500,-0.55664063,0.01953125
121750,-0.53710938,-0.09765625
122000,-0.49804688,-0.23437500
122250,-0.48828125,-0.38085938
122500,-0.43945313,-0.47851563
122750,-0.41992188,-0.61523438
123000,-0.36132813,-0.72265625
123250,-0.36132813,-0.80078125
123500,-0.30273438,-0.87890625
123750,-0.26367188,-0.95703125
124000,-0.19531250,-1.00585938
124250,-0.12695313,-1.06445313
124500,-0.07812500,-1.15234375
124750,-0.02929688,-1.22070313
125000,0.02929688,-1.26953125
125250,0.06835938,-1.29882813
125500,0.11718750,-1.35742188
125750,0.18554688,-1.38671875
126000,0.19531250,-1.42578125
126250,0.24414063,-1.47460938
126500,0.32226563,-1.49414063
126750,0.34179688,-1.52343750
127000,0.34179688,-1.56250000
127250,0.39062500,-1.62109375
127500,0.41015625,-1.67968750
127750,0.45898438,-1.70898438
128000,0.50781250,-1.72851563
128250,0.54687500,-1.66992188
128500,0.55664063,-1.57226563
128750,0.57617188,-1.46484375
129000,0.53710938,-1.37695313
129250,0.53710938,-1.29882813
129500,0.58593750,-1.18164063
129750,0.55664063,-1.08398438
130000,0.50781250,-0.95703125
130250,0.53710938,-0.82031250
130500,0.49804688,-0.66406250
130750,0.49804688,-0.49804688
131000,0.47851563,-0.35156250
131250,0.44921875,-0.20507813
131500,0.45898438,-0.05859375
131750,0.43945313,0.07812500
132000,0.39062500,0.19531250
132250,0.40039063,0.33203125
132500,0.34179688,0.45898438
132750,0.31250000,0.58593750
