,Канал: 0,Канал: 1
101594,0.518,-2.793
101760,0.430,-2.861
101926,0.479,-2.910
102092,0.508,-2.949
102258,0.420,-2.959
102424,0.576,-2.930
102590,0.527,-2.881
102756,0.537,-2.744
102922,0.557,-2.607
103088,0.547,-2.490
103254,0.537,-2.393
103420,0.645,-2.246
103586,0.566,-2.139
103752,0.488,-2.012
103918,0.703,-1.875
104084,0.693,-1.758
104250,0.527,-1.611
104416,0.674,-1.455
104582,0.625,-1.260
104748,0.508,-1.074
104914,0.605,-0.879
105080,0.576,-0.703
105246,0.439,-0.527
105412,0.557,-0.361
105578,0.488,-0.205
105744,0.547,-0.039
105910,0.527,0.107
106076,0.498,0.283
106242,0.420,0.420
106408,0.361,0.576
106574,0.352,0.723
106740,0.371,0.840
106906,0.254,0.957
107072,0.215,1.084
107238,0.225,1.182
107404,0.195,1.279
107570,0.098,1.367
107736,-0.049,1.465
107902,-0.029,1.563
108068,-0.127,1.631
108234,-0.215,1.709
108400,-0.186,1.807
108566,-0.205,1.885
108732,-0.205,1.953
108898,-0.381,2.021
109064,-0.381,2.109
109230,-0.352,2.148
109396,-0.469,2.207
109562,-0.459,2.246
109728,-0.371,2.295
109894,-0.469,2.344
110060,-0.459,2.383
110226,-0.537,2.422
110392,-0.459,2.461
110558,-0.557,2.480
110724,-0.576,2.510
110890,-0.576,2.549
111056,-0.527,2.598
111222,-0.732,2.637
111388,-0.586,2.695
111554,-0.693,2.773
111720,-0.615,2.842
111886,-0.723,2.891
112052,-0.742,2.920
112218,-0.664,2.930
112384,-0.586,2.910
112550,-0.742,2.852
112716,-0.693,2.734
112882,-0.693,2.568
113048,-0.693,2.471
113214,-0.840,2.354
113380,-0.781,2.246
113546,-0.801,2.129
113712,-0.889,2.012
113878,-0.732,1.885
114044,-0.742,1.758
114210,-0.752,1.602
114376,-0.703,1.455
114542,-0.703,1.279
114708,-0.801,1.104
114874,-0.791,0.908
115040,-0.625,0.713
115206,-0.693,0.537
115372,-0.693,0.371
115538,-0.605,0.234
115704,-0.693,0.068
115870,-0.713,-0.098
116036,-0.635,-0.244
116202,-0.752,-0.420
116368,-0.635,-0.537
116534,-0.596,-0.713
116700,-0.645,-0.859
116866,-0.459,-0.967
117032,-0.605,-1.074
117198,-0.430,-1.182
117364,-0.439,-1.279
117530,-0.264,-1.377
117696,-0.322,-1.465
117862,-0.176,-1.553
118028,-0.137,-1.631
118194,-0.029,-1.719
118360,0.049,-1.797
118526,0.068,-1.885
118692,0.010,-1.943
118858,0.010,-2.021
119024,0.010,-2.100
119190,0.137,-2.168
119356,0.146,-2.217
119522,0.137,-2.275
119688,0.215,-2.324
119854,0.234,-2.363
120020,0.352,-2.402
120186,0.303,-2.441
120352,0.322,-2.471
120518,0.381,-2.520
120684,0.332,-2.539
120850,0.391,-2.578
121016,0.391,-2.617
121182,0.361,-2.646
121348,0.342,-2.705
121514,0.479,-2.793
121680,0.498,-2.861
121846,0.381,-2.920
122012,0.518,-2.949
122178,0.566,-2.969
122344,0.527,-2.969
122510,0.527,-2.920
122676,0.635,-2.852
122842,0.635,-2.666
123008,0.664,-2.559
123174,0.547,-2.432
123340,0.586,-2.324
123506,0.557,-2.188
123672,0.596,-2.070
123838,0.645,-1.943
124004,0.576,-1.816
124170,0.566,-1.660
124336,0.518,-1.514
124502,0.596,-1.357
124668,0.527,-1.182
124834,0.566,-0.977
125000,0.605,-0.781
125166,0.576,-0.605
125332,0.586,-0.430
125498,0.439,-0.273
125664,0.430,-0.127
125830,0.410,0.039
125996,0.527,0.205
126162,0.430,0.361
126328,0.361,0.508
126494,0.391,0.645
126660,0.449,0.781
126826,0.342,0.908
126992,0.313,1.025
127158,0.273,1.133
127324,0.107,1.230
127490,0.146,1.328
127656,0.000,1.426
127822,0.010,1.514
127988,-0.176,1.611
128154,-0.195,1.689
128320,-0.156,1.768
128486,-0.264,1.855
128652,-0.205,1.914
128818,-0.332,2.002
128984,-0.391,2.070
129150,-0.381,2.139
129316,-0.410,2.197
