,Канал: 0,Канал: 1
39072,-0.713,3.008
39183,-0.703,2.988
39294,-0.732,2.969
39405,-0.791,2.930
39516,-0.742,2.881
39627,-0.781,2.773
39738,-0.752,2.666
39849,-0.752,2.598
39960,-0.742,2.529
40071,-0.732,2.451
40182,-0.732,2.383
40293,-0.664,2.295
40404,-0.752,2.207
40515,-0.820,2.139
40626,-0.752,2.051
40737,-0.742,1.973
40848,-0.820,1.875
40959,-0.762,1.787
41070,-0.713,1.670
41181,-0.664,1.582
41292,-0.713,1.465
41403,-0.674,1.318
41514,-0.781,1.211
41625,-0.811,1.094
41736,-0.605,0.947
41847,-0.693,0.820
41958,-0.762,0.713
42069,-0.684,0.586
42180,-0.635,0.469
42291,-0.654,0.361
42402,-0.645,0.254
42513,-0.625,0.146
42624,-0.762,0.029
42735,-0.684,-0.059
42846,-0.625,-0.176
42957,-0.684,-0.303
43068,-0.713,-0.381
43179,-0.684,-0.498
43290,-0.586,-0.586
43401,-0.645,-0.684
43512,-0.645,-0.791
43623,-0.654,-0.859
43734,-0.508,-0.957
43845,-0.508,-1.035
43956,-0.410,-1.113
44067,-0.566,-1.191
44178,-0.332,-1.260
44289,-0.264,-1.328
44400,-0.303,-1.387
44511,-0.205,-1.445
44622,-0.215,-1.514
44733,-0.225,-1.582
44844,-0.186,-1.641
44955,-0.117,-1.699
45066,-0.117,-1.748
45177,-0.078,-1.797
45288,0.000,-1.855
45399,-0.010,-1.914
45510,-0.020,-1.963
45621,0.146,-2.012
45732,-0.029,-2.061
45843,0.088,-2.119
45954,0.176,-2.178
46065,0.244,-2.217
46176,0.215,-2.236
46287,0.098,-2.285
46398,0.195,-2.305
46509,0.283,-2.344
46620,0.283,-2.373
46731,0.361,-2.412
46842,0.244,-2.441
46953,0.420,-2.461
47064,0.342,-2.490
47175,0.342,-2.510
47286,0.391,-2.549
47397,0.391,-2.568
47508,0.391,-2.598
47619,0.361,-2.617
47730,0.469,-2.656
47841,0.400,-2.666
47952,0.400,-2.705
48063,0.410,-2.734
48174,0.381,-2.773
48285,0.400,-2.842
48396,0.488,-2.871
48507,0.508,-2.939
48618,0.566,-2.988
48729,0.508,-3.008
48840,0.508,-3.047
48951,0.498,-3.057
49062,0.566,-3.057
49173,0.498,-3.057
49284,0.586,-3.037
49395,0.537,-3.008
49506,0.664,-2.969
49617,0.566,-2.861
49728,0.625,-2.764
49839,0.596,-2.666
49950,0.498,-2.598
50061,0.586,-2.510
50172,0.625,-2.441
50283,0.615,-2.363
50394,0.596,-2.275
50505,0.605,-2.178
50616,0.557,-2.109
