,Канал: 0,Канал: 1
92750,-0.732,2.861
93000,-0.723,2.920
93250,-0.703,3.037
93500,-0.801,3.154
93750,-0.771,3.262
94000,-0.732,3.311
94250,-0.908,3.301
94500,-0.938,3.193
94750,-0.898,2.969
95000,-0.879,2.783
95250,-0.967,2.598
95500,-0.947,2.393
95750,-0.938,2.178
96000,-0.742,1.953
96250,-0.811,1.699
96500,-0.859,1.406
96750,-0.938,1.084
97000,-0.850,0.762
97250,-0.791,0.488
97500,-0.811,0.225
97750,-0.869,-0.039
98000,-0.791,-0.313
98250,-0.820,-0.547
98500,-0.703,-0.791
98750,-0.674,-1.016
99000,-0.684,-1.191
99250,-0.547,-1.357
99500,-0.420,-1.523
99750,-0.342,-1.689
100000,-0.254,-1.846
100250,-0.137,-1.963
100500,-0.068,-2.090
100750,-0.107,-2.217
101000,0.000,-2.363
101250,0.166,-2.461
101500,0.215,-2.549
101750,0.234,-2.607
102000,0.273,-2.695
102250,0.273,-2.773
102500,0.283,-2.822
102750,0.420,-2.881
103000,0.430,-2.959
103250,0.381,-3.047
103500,0.459,-3.174
103750,0.449,-3.281
104000,0.527,-3.369
104250,0.469,-3.340
104500,0.625,-3.271
104750,0.586,-3.027
105000,0.527,-2.822
105250,0.674,-2.637
105500,0.557,-2.432
105750,0.566,-2.227
106000,0.703,-2.002
106250,0.547,-1.738
106500,0.479,-1.445
106750,0.537,-1.133
107000,0.566,-0.820
107250,0.586,-0.527
107500,0.449,-0.254
107750,0.469,0.000
108000,0.430,0.254
108250,0.479,0.537
108500,0.410,0.762
108750,0.439,0.986
109000,0.225,1.152
109250,0.244,1.328
109500,0.088,1.514
109750,0.068,1.680
110000,-0.029,1.816
110250,-0.137,1.953
110500,-0.186,2.080
110750,-0.303,2.217
111000,-0.430,2.344
111250,-0.557,2.451
111500,-0.518,2.539
111750,-0.449,2.607
112000,-0.576,2.666
112250,-0.674,2.744
112500,-0.654,2.793
112750,-0.664,2.861
113000,-0.645,2.939
113250,-0.811,3.037
113500,-0.820,3.174
113750,-0.859,3.281
114000,-0.811,3.311
114250,-0.859,3.301
114500,-0.801,3.213
114750,-0.889,2.969
115000,-0.869,2.783
115250,-0.879,2.598
115500,-0.947,2.393
115750,-0.889,2.178
116000,-0.898,1.934
116250,-0.908,1.680
116500,-0.850,1.416
116750,-0.869,1.074
117000,-0.811,0.762
117250,-0.859,0.488
117500,-0.664,0.225
117750,-0.820,-0.039
118000,-0.801,-0.303
118250,-0.732,-0.557
118500,-0.723,-0.771
118750,-0.684,-1.006
119000,-0.703,-1.191
119250,-0.488,-1.367
119500,-0.391,-1.533
119750,-0.342,-1.680
120000,-0.234,-1.846
120250,-0.137,-1.963
120500,0.029,-2.090
120750,-0.010,-2.236
121000,0.146,-2.363
121250,0.137,-2.451
121500,0.186,-2.539
121750,0.244,-2.627
122000,0.166,-2.686
122250,0.283,-2.754
122500,0.244,-2.822
122750,0.439,-2.891
123000,0.488,-2.959
123250,0.342,-3.057
123500,0.518,-3.184
123750,0.518,-3.301
124000,0.459,-3.369
124250,0.566,-3.340
124500,0.537,-3.262
124750,0.537,-3.047
125000,0.596,-2.832
125250,0.635,-2.637
125500,0.654,-2.441
