ангстремы	R	G_1	G_2	B
4819.901359	-173.487533	-107.804760	-111.092395	-74.074232
4819.931884	-173.475146	-107.840170	-111.076832	-73.997595
4819.962410	-173.473891	-107.832642	-111.088305	-73.913011
4819.992936	-173.456734	-107.809212	-111.088645	-73.831612
4820.023464	-173.430037	-107.750801	-111.073083	-73.710463
4820.053992	-173.392210	-107.687622	-111.032080	-73.587730
4820.084521	-173.360746	-107.635576	-110.986309	-73.482494
4820.115051	-173.338823	-107.580353	-110.962801	-73.366133
4820.145581	-173.326440	-107.471073	-110.931344	-73.267268
4820.176112	-173.296569	-107.355439	-110.885579	-73.125480
4820.206644	-173.236491	-107.203243	-110.887513	-73.001187
4820.237177	-173.198674	-107.044695	-110.871959	-72.846693
4820.267711	-173.159269	-106.919541	-110.819839	-72.682669
4820.298245	-173.097609	-106.800753	-110.775671	-72.502754
4820.328780	-173.016875	-106.731252	-110.742633	-72.348285
4820.359316	-172.971118	-106.652217	-110.700059	-72.220849
4820.389853	-172.936491	-106.581135	-110.667024	-72.087060
4820.420391	-172.920941	-106.533900	-110.592661	-71.978712
4820.450929	-172.916519	-106.513690	-110.500816	-71.852884
4820.481468	-172.916866	-106.491891	-110.415335	-71.766801
4820.512008	-172.931517	-106.495526	-110.302835	-71.682312
4820.542549	-172.922326	-106.503929	-110.209415	-71.635974
4820.573090	-172.919493	-106.518688	-110.114411	-71.626194
4820.603632	-172.943680	-106.552520	-109.987623	-71.605290
4820.634175	-172.983758	-106.538669	-109.856074	-71.555779
4820.664719	-172.993637	-106.540712	-109.734067	-71.458591
4820.695264	-172.990802	-106.518916	-109.608888	-71.367765
4820.725809	-172.981610	-106.525727	-109.513910	-71.261052
4820.756355	-172.972418	-106.540484	-109.445953	-71.192484
4820.786902	-172.974351	-106.563185	-109.387534	-71.106439
4820.817450	-172.977872	-106.597008	-109.313227	-71.021987
4820.847998	-173.013174	-106.619707	-109.238924	-70.908937
4820.878547	-173.053241	-106.609034	-109.204350	-70.765702
4820.909097	-173.125085	-106.582473	-109.212679	-70.690799
4820.939648	-173.196925	-106.584513	-109.235309	-70.704880
4820.970200	-173.287828	-106.589732	-109.257937	-70.771394
4821.000752	-173.386671	-106.604482	-109.274208	-70.799772
4821.031305	-173.475975	-106.536614	-109.288890	-70.853569
4821.061859	-173.535088	-106.440152	-109.278150	-70.864466
4821.092414	-173.594198	-106.303976	-109.238814	-70.862654
4821.122970	-173.627886	-106.172573	-109.245552	-70.867196
4821.153526	-173.626622	-106.082482	-109.239580	-70.927340
4821.184083	-173.591996	-106.011458	-109.192305	-70.981127
4821.214641	-173.527190	-105.918198	-109.118026	-70.984077
4821.245199	-173.456033	-105.821766	-109.045340	-70.883772
4821.275759	-173.364229	-105.726927	-108.991719	-70.734230
4821.306319	-173.256545	-105.644800	-108.955573	-70.606934
4821.336880	-173.139337	-105.575384	-108.925783	-70.481232
4821.367442	-173.080903	-105.548858	-108.889641	-70.414306
4821.398004	-173.017707	-105.563629	-108.888443	-70.379150
4821.428568	-173.002163	-105.562517	-108.877716	-70.316995
4821.459132	-172.994560	-105.539169	-108.879695	-70.211960
4821.489697	-173.015545	-105.526940	-108.892791	-70.141872
4821.520262	-173.025412	-105.563944	-108.917004	-70.087668
4821.550829	-173.044807	-105.585064	-108.903101	-70.081110
4821.581396	-173.072141	-105.585539	-108.879669	-70.150781
4821.611964	-173.107414	-105.566957	-108.838771	-70.202979
4821.642533	-173.172856	-105.584900	-108.789934	-70.229767
4821.673102	-173.189069	-105.566319	-108.747452	-70.208914
4821.703673	-173.211632	-105.523920	-108.685916	-70.146777
4821.734244	-173.205612	-105.449766	-108.618033	-70.133867
4821.764816	-173.207531	-105.366088	-108.548564	-70.117782
4821.795388	-173.196748	-105.257010	-108.501329	-70.068354
4821.825962	-173.185965	-105.095542	-108.466797	-69.996700
4821.856536	-173.140253	-104.938845	-108.448145	-69.926638
4821.887111	-173.094543	-104.782155	-108.431081	-69.799422
4821.917687	-173.071063	-104.660402	-108.420368	-69.718255
4821.948264	-173.033294	-104.535480	-108.406480	-69.640267
4821.978841	-173.020929	-104.440727	-108.414819	-69.576570
4822.009419	-172.992689	-104.376141	-108.426332	-69.566852
4822.039998	-172.975562	-104.379820	-108.420383	-69.504748
4822.070578	-172.955261	-104.402548	-108.406496	-69.437885
4822.101159	-172.927024	-104.430036	-108.378324	-69.410710
4822.131740	-172.901963	-104.484508	-108.304120	-69.412108
4822.162322	-172.922935	-104.551676	-108.233094	-69.388110
4822.192905	-172.932795	-104.625189	-108.150961	-69.346652
4822.223489	-172.904561	-104.674889	-108.060896	-69.273453
4822.254073	-172.849346	-104.707128	-107.980358	-69.205018
4822.284658	-172.771914	-104.712384	-107.907760	-69.161981
4822.315244	-172.673853	-104.693833	-107.812947	-69.084030
4822.345831	-172.555165	-104.605453	-107.714964	-69.036237
4822.376419	-172.431723	-104.501206	-107.623334	-69.039232
4822.407007	-172.328917	-104.419182	-107.528535	-68.993029
4822.437596	-172.234050	-104.333989	-107.475001	-68.908742
4822.468186	-172.120146	-104.236105	-107.446859	-68.851437
4822.498777	-172.011008	-104.147747	-107.394917	-68.798896
4822.529368	-171.924091	-104.056219	-107.341390	-68.779680
4822.559960	-171.864153	-103.964696	-107.281518	-68.763638
4822.590554	-171.832780	-103.885872	-107.202609	-68.693649
4822.621147	-171.844248	-103.814985	-107.177651	-68.598275
4822.651742	-171.844609	-103.763141	-107.166975	-68.464827
4822.682337	-171.840211	-103.695434	-107.162645	-68.280614
4822.712934	-171.800907	-103.615038	-107.177354	-68.123382
4822.743531	-171.748914	-103.547338	-107.182543	-68.021687
4822.774128	-171.709614	-103.505025	-107.187732	-67.893026
4822.804727	-171.702046	-103.469060	-107.245273	-67.824657
4822.835326	-171.692891	-103.418819	-107.309157	-67.735669
4822.865926	-171.693255	-103.405067	-107.371451	-67.635580
4822.896527	-171.674583	-103.424628	-107.402015	-67.524392
4822.927129	-171.635290	-103.433084	-107.372299	-67.471902
4822.957731	-171.616620	-103.471679	-107.347343	-67.484451
4822.988335	-171.609054	-103.538823	-107.314456	-67.485895
4823.018939	-171.661762	-103.615481	-107.246676	-67.493685
4823.049543	-171.738260	-103.671515	-107.153521	-67.493543
4823.080149	-171.784618	-103.700582	-107.030236	-67.552086
4823.110755	-171.807183	-103.715374	-106.879993	-67.593180
4823.141363	-171.820230	-103.765056	-106.728173	-67.618412
4823.171970	-171.833276	-103.770330	-106.587461	-67.665845
4823.202579	-171.852666	-103.742298	-106.487991	-67.762440
4823.233189	-171.902186	-103.750743	-106.450375	-67.801938
4823.263799	-171.969147	-103.754430	-106.431791	-67.778000
4823.294410	-172.048792	-103.753359	-106.410037	-67.776265
4823.325022	-172.088788	-103.699958	-106.408898	-67.757086
4823.355635	-172.122439	-103.662417	-106.466431	-67.683994
4823.386248	-172.190973	-103.634392	-106.522375	-67.571263
4823.416862	-172.243647	-103.603197	-106.579901	-67.403041
4823.447477	-172.326444	-103.540292	-106.677065	-67.285566
4823.478093	-172.390211	-103.504344	-106.750440	-67.139558
4823.508710	-172.455559	-103.474740	-106.823812	-67.007826
4823.539327	-172.486024	-103.424526	-106.854371	-66.937935
4823.569945	-172.480021	-103.379071	-106.832610	-66.936221
4823.600564	-172.462922	-103.316178	-106.810849	-66.953532
4823.631184	-172.441066	-103.326215	-106.770066	-66.978768
4823.661804	-172.409700	-103.325155	-106.683310	-67.049977
4823.692425	-172.346630	-103.317753	-106.626679	-67.091063
4823.723047	-172.316853	-103.321448	-106.589073	-67.154339
4823.753670	-172.260129	-103.353676	-106.492817	-67.165301
4823.784294	-172.206577	-103.373222	-106.404492	-67.200039
4823.814918	-172.134008	-103.364234	-106.292394	-67.168201
4823.845543	-172.077292	-103.315620	-106.221514	-67.091983
4823.876169	-172.053865	-103.244818	-106.210868	-66.971387
4823.906796	-172.022513	-103.181944	-106.216073	-66.842873
4823.937424	-172.013353	-103.101639	-106.237127	-66.709611
