U[V], I[uA]
22.68, 223.6
22.68, 211.4
23.02, 211.4
23.02, 209.4
23.04, 209.4
23.04, 209.1
23.05, 209.1
23.06, 209.1
23.06, 209.0
23.05, 209.0
23.07, 209.0
23.07, 208.6
23.06, 208.6
23.06, 203.9
23.16, 203.9
23.16, 203.6
23.16, 203.2
23.17, 203.2
23.17, 203.8
23.17, 203.0
23.2, 203.0
23.2, 191.2
23.36, 191.2
23.36, 189.8
23.36, 188.8
23.38, 188.8
23.38, 187.6
23.38, 187.4
23.38, 187.3
23.38, 187.2
23.39, 187.2
23.39, 186.7
23.38, 186.7
23.38, 187.2
23.43, 187.2
23.43, 179.3
23.48, 179.3
23.48, 176.6
23.49, 176.6
23.49, 176.5
23.49, 176.2
23.49, 175.7
23.5, 175.7
23.5, 175.6
23.5, 174.9
23.46, 174.9
23.46, 166.4
23.64, 166.4
23.64, 162.8
23.66, 162.8
23.66, 156.7
23.8, 156.7
23.8, 155.8
23.82, 155.8
23.82, 155.5
23.83, 155.4
23.83, 155.1
23.83, 155.4
23.91, 155.4
23.91, 152.5
23.97, 152.5
23.98, 152.2
23.98, 152.1
23.99, 152.1
23.99, 152.0
24.0, 152.0
24.0, 151.9
24.01, 151.9
24.01, 151.0
24.18, 151.0
24.18, 199.9
24.18, 149.9
24.2, 149.9
24.2, 149.8
24.21, 149.8
24.21, 149.7
24.24, 149.7
24.24, 149.8
24.25, 149.8
24.25, 149.9
24.25, 149.8
24.25, 149.9
24.26, 149.9
24.26, 149.3
24.52, 149.3
24.53, 149.3
24.54, 149.3
24.54, 149.1
24.53, 149.1
24.53, 149.2
24.53, 149.3
24.7, 149.3
24.7, 151.4
24.9, 151.4
24.9, 151.5
24.91, 151.5
24.91, 151.6
24.92, 151.6
24.92, 151.7
24.92, 151.8
24.92, 151.6
25.03, 151.6
25.03, 153.3
25.05, 153.3
25.05, 153.2
25.05, 153.3
25.05, 153.5
25.06, 153.5
25.06, 153.6
25.06, 153.5
25.05, 153.5
25.05, 153.6
25.06, 153.6
25.06, 153.4
25.26, 153.4
25.26, 157.0
25.36, 157.0
25.32, 157.0
25.32, 157.4
25.33, 157.4
25.33, 157.6
25.33, 157.7
25.34, 157.7
25.33, 157.7
25.33, 157.3
25.28, 157.3
25.28, 159.9
25.78, 159.9
25.78, 165.8
25.79, 165.8
25.79, 165.6
25.78, 165.6
25.78, 165.7
25.79, 165.7
25.79, 165.9
25.79, 166.0
25.89, 166.0
25.8, 166.0
25.8, 166.8
25.93, 166.8
25.93, 168.8
25.93, 169.0
25.95, 169.0
25.95, 169.1
25.95, 169.2
25.96, 169.2
25.96, 169.3
25.96, 169.4
25.97, 169.4
25.97, 169.6
25.97, 169.4
26.06, 169.4
26.06, 174.6
26.49, 174.6
26.49, 180.4
26.52, 180.4
26.52, 180.9
26.53, 180.9
26.53, 181.0
26.54, 181.0
26.54, 181.1
26.53, 181.1
26.54, 181.1
26.55, 181.1
26.55, 184.3
26.69, 184.3
26.69, 184.4
26.7, 184.4
26.7, 184.5
26.7, 184.4
26.71, 184.4
26.71, 184.5
26.71, 184.1
26.69, 184.1
26.69, 184.6
26.82, 184.6
26.82, 186.5
26.83, 186.5
26.83, 186.7
26.83, 186.9
26.84, 186.9
26.84, 186.8
26.83, 186.8
26.83, 186.9
26.83, 186.8
26.83, 187.0
26.85, 187.0
26.85, 192.8
27.16, 192.8
27.16, 192.6
27.16, 192.7
27.16, 192.9
27.16, 192.5
27.16, 194.8
27.47, 194.8
27.47, 198.3
27.48, 198.3
27.48, 198.7
27.48, 198.8
27.49, 198.8
27.49, 199.0
27.5, 199.0
27.5, 202.0
27.71, 202.0
27.71, 202.7
27.71, 202.8
27.72, 202.8
27.72, 202.7
27.71, 202.7
27.71, 202.4
27.71, 202.5
27.71, 202.4
28.03, 202.4
28.03, 209.6
28.15, 209.6
28.15, 209.8
28.15, 209.7
28.14, 209.7
28.14, 209.6
28.15, 209.6
28.15, 209.9
28.15, 210.0
28.15, 210.3
28.2, 210.3
28.2, 210.7
28.2, 211.5
28.43, 214.6
28.41, 214.6
28.41, 214.3
28.42, 214.3
28.42, 214.4
28.41, 214.4
28.41, 214.6
28.42, 214.6
28.42, 215.0
28.42, 215.1
28.43, 215.1
28.42, 215.1
28.42, 215.3
28.41, 215.3
28.41, 217.3
28.55, 217.3
28.55, 217.4
28.55, 217.6
28.57, 217.6
28.57, 218.1
28.57, 218.2
28.57, 218.3
28.58, 218.3
28.58, 218.5
28.58, 218.2
28.57, 218.2
28.58, 218.2
28.58, 217.9
28.75, 217.9
28.75, 221.4
28.77, 221.4
28.77, 221.7
28.77, 222.0
28.79, 222.0
28.79, 222.2
28.79, 222.1
28.79, 222.2
28.79, 222.1
28.79, 225.1
28.98, 225.1
28.98, 227.0
29.17, 227.0
29.17, 228.7
29.17, 228.8
29.17, 228.9
29.18, 228.9
29.18, 229.8
29.19, 229.8
29.19, 230.0
29.19, 229.9
29.19, 230.1
29.19, 230.2
29.19, 230.1
29.18, 230.1
29.18, 229.7
29.18, 229.6
29.18, 229.5
29.18, 229.7
29.18, 229.6
29.18, 229.8
29.18, 230.0
29.18, 229.9
29.18, 230.4
29.18, 230.3
29.18, 230.2
29.17, 230.2
29.17, 232.0
29.76, 232.0
29.76, 240.3
29.72, 240.3
29.72, 240.4
29.73, 240.4
29.73, 240.5
29.73, 240.4
29.73, 240.6
29.73, 240.5
29.74, 240.5
29.74, 250.1
30.3, 250.1
30.3, 250.6
30.3, 250.5
30.31, 250.5
30.31, 250.2
30.3, 250.2
30.3, 250.3
30.3, 253.6
30.62, 253.6
30.62, 258.0
30.73, 258.0
30.73, 257.4
30.69, 257.4
30.69, 257.0
30.7, 257.0
30.7, 257.1
30.7, 257.2
30.72, 257.2
30.72, 257.8
30.71, 257.8
30.71, 257.7
30.73, 257.7
30.73, 257.9
30.71, 257.9
30.71, 257.7
30.93, 257.7
30.93, 261.8
30.94, 261.8
30.94, 262.0
30.95, 262.0
30.95, 262.2
30.94, 262.2
30.94, 262.1
30.94, 267.7
32.18, 267.7
32.18, 283.7
32.2, 283.7
32.2, 284.5
32.21, 284.5
32.21, 284.7
32.21, 284.8
32.22, 284.8
32.22, 284.9
32.16, 284.9
32.16, 283.5
32.14, 283.5
32.14, 283.8
32.15, 283.8
32.15, 283.9
32.25, 283.9
32.25, 305.2
33.43, 305.2
33.44, 305.2
33.44, 305.4
33.44, 305.1
33.43, 305.1
33.43, 304.8
33.43, 304.9
33.54, 304.9
33.54, 309.0
33.68, 309.0
33.68, 309.2
33.68, 309.3
33.68, 309.4
33.68, 309.3
33.68, 309.4
33.84, 309.4
33.84, 317.4
34.24, 317.4
34.21, 317.4
34.21, 317.7
34.21, 317.8
34.21, 318.0
34.22, 318.0
34.22, 318.5
34.22, 318.8
34.22, 319.0
34.22, 319.2
34.23, 319.2
34.23, 319.3
34.38, 319.3
34.3, 319.3
34.3, 326.2
34.7, 326.2
34.7, 326.4
34.7, 326.3
34.7, 326.2
34.7, 326.4
34.7, 326.5
34.7, 326.0
34.8, 326.0
34.69, 326.0
34.69, 325.8
34.69, 325.9
34.69, 325.7
34.69, 325.8
34.68, 325.8
34.68, 325.9
34.69, 325.9
34.69, 325.7
34.68, 325.7
34.68, 325.3
34.68, 325.7
34.91, 325.7
34.91, 329.4
34.99, 329.4
34.99, 329.8
34.98, 329.8
34.98, 329.5
34.98, 329.1
34.93, 329.1
34.93, 329.5
34.94, 329.5
34.93, 329.5
34.93, 331.9
35.13, 331.9
35.13, 332.6
34.81, 332.6
34.81, 327.8
34.76, 327.8
34.76, 327.9
34.76, 327.7
34.78, 327.7
34.78, 328.0
34.78, 328.4
34.79, 328.4
34.79, 328.7
35.14, 328.7
35.14, 333.3
35.14, 333.4
35.14, 333.5
35.14, 333.0
35.14, 333.1
35.26, 333.1
35.26, 334.8
35.28, 334.8
35.28, 335.0
35.29, 335.0
35.29, 335.1
35.36, 335.1
35.36, 338.9
35.7, 338.9
35.7, 339.0
35.69, 339.0
35.69, 339.1
35.69, 339.0
35.69, 340.4
35.93, 340.4
35.93, 340.9
35.95, 340.9
35.95, 341.0
35.95, 341.8
35.95, 341.9
35.95, 341.2
35.94, 341.2
35.94, 341.3
35.95, 341.3
35.95, 341.6
35.95, 341.8
35.95, 341.6
35.95, 341.7
35.96, 341.7
35.96, 342.2
36.07, 342.2
36.07, 342.5
36.09, 342.5
36.09, 342.7
36.09, 342.6
36.09, 341.7
36.08, 341.7
36.08, 341.8
36.08, 342.0
36.09, 342.0
36.09, 342.1
36.09, 342.2
36.08, 342.2
36.08, 342.4
36.28, 342.4
36.28, 343.4
36.42, 343.4
36.42, 343.7
36.45, 343.7
36.45, 343.9
36.45, 344.0
36.45, 343.9
36.44, 343.9
36.44, 343.8
36.44, 344.0
36.44, 344.1
36.45, 344.1
36.45, 344.3
36.47, 344.3
36.47, 345.0
36.44, 345.0
36.44, 345.1
36.47, 345.1
36.47, 345.6
36.6, 345.6
36.6, 345.7
36.61, 345.7
36.61, 345.8
36.61, 345.5
36.61, 345.4
36.62, 345.4
36.62, 345.6
36.62, 345.8
36.62, 345.9
36.62, 346.0
36.84, 346.0
36.84, 346.3
36.88, 346.3
36.88, 346.1
36.88, 346.2
36.89, 346.2
36.89, 346.1
36.9, 346.1
36.9, 346.3
36.91, 346.3
36.91, 346.5
36.89, 346.5
36.89, 347.0
37.24, 347.0
37.24, 347.3
37.24, 347.4
37.25, 347.4
37.25, 347.5
37.25, 347.6
37.25, 347.5
37.25, 347.6
37.25, 348.0
37.26, 348.0
37.26, 348.4
37.27, 348.4
37.27, 348.5
37.27, 349.1
38.02, 349.1
38.02, 349.3
38.04, 349.3
38.05, 349.3
38.03, 349.3
38.03, 349.5
38.03, 349.6
38.03, 349.7
38.03, 349.9
38.04, 349.9
38.04, 350.0
38.03, 350.0
38.03, 349.5
38.01, 349.5
38.01, 349.1
38.01, 349.2
39.65, 349.2
40.06, 338.7
40.07, 338.7
40.07, 338.9
40.07, 338.6
40.07, 338.7
48.07, 338.7
48.07, 338.8
40.07, 338.8
40.05, 338.8
40.05, 331.8
40.91, 331.8
40.91, 330.7
48.91, 330.7
48.93, 330.7
48.93, 330.5
40.92, 330.5
48.92, 330.5
48.92, 330.8
48.92, 331.1
40.92, 331.1
40.92, 330.9
40.96, 330.9
48.96, 330.9
40.96, 330.9
40.96, 327.7
41.47, 327.7
41.47, 327.9
41.48, 327.9
41.48, 328.0
41.49, 328.0
41.49, 327.8
41.48, 327.8
41.48, 327.9
41.49, 327.9
41.49, 328.0
41.52, 328.0
41.52, 327.9
41.51, 327.9
41.51, 326.2
41.84, 326.2
41.84, 325.8
41.85, 325.8
41.85, 325.9
41.85, 326.1
41.85, 326.2
41.83, 326.2
